Index,Item,Price
1746,IC 74LS27,$0.40
1747,Stainless Steel Nylon Lock Hex Nut M4,$0.08
1748,Resistor 5W 5% 5R1,$0.15
1749,Electrolytic Capacitor 35V 220uF,$0.15
1750,Grove All In One Beginner Kit for Arduino,$36.25
1751,Resistor 0.25W 5% (360K),$0.01
1752,IC 74LS173,$0.65
1753,RPi 4B 8G Basic Kit-EU Plug(w RPI4B8G),$123.50
1754,Resistor 0.25W 5% (24K),$0.01
1755,2510 PCB Connector Housing 16 Ways,$0.12
1756,IC 74LS42,$0.85
1757,Ozobot Starter Pack,$83.75
1758,M5Stack ATOM Matrix ESP32 Development Kit,$14.88
1759,Silicon Case for BBC micro:bit (Yellow),$5.00
1760,Stainless Steel Nylon Lock Hex Nut M4,$0.08
1761,Resistor 5W 5% 5R1,$0.15
1762,Electrolytic Capacitor 35V 220uF,$0.15
1763,IC 74LS173,$0.65
1764,Grove All In One Beginner Kit for Arduino,$36.25
1765,Resistor 0.25W 5% (360K),$0.01
1766,Resistor 0.25W 5% (24K),$0.01
1767,RPi 4B 8G Basic Kit-EU Plug(w RPI4B8G),$123.50
1768,IC 74LS42,$0.85
1769,2510 PCB Connector Housing 16 Ways,$0.12
1770,IC 74HC4075N,$0.48
1771,Ozobot Starter Pack,$83.75
1772,M5Stack ATOM Matrix ESP32 Development Kit,$14.88
1773,IO Board with PoE for Raspberry Pi Compute Module,$49.50
1774,Resistor 0.25W 5% (620K),$0.01
1775,Potential Meter 250K,$0.30
1776,IC 74LS148,$0.58
1777,M30 Inductive Proximity Sensor,$28.88
1778,WS2812B NeoPixel LED Stick - 8 LED,$1.63
1779,IC 74LS83,$0.98
1780,100mm Double Plastic Plate Omni Wheel,$50.00
1781,Wireless Charging Module Couple 9V,$6.25
1782,Resistor 0.25W 5% (2R7),$0.01
1783,Resistor 0.25W 5% (13R),$0.01
1784,IC 74HC564N,$1.28
1785,2022 PCB Connector Header (R/A) 5 Ways,$0.06
1786,2600 PCB Connector Header (R/A) 14 Ways,$0.28 $0.03
1787,26.4V 2.8Ohm 15W Shunt Regulator,$7.00
1788,PCF6-02 6mm Push In Fitting Female Straight Connector,$0.65
1789,IC PIC 16F819,$4.00
1790,2600 PCB Connector Header (R/A) 16 Ways,$0.32
1791,2S 7.4V LiPo Battery USB 5V 1A Fast Balance Charger,$5.73
1792,Resistor 0.25W 5% (82R),$0.01
1793,Resistor 0.25W 5% (2M),$0.01
1794,Pro'skit Super Drill Set,$51.25
1795,Wrapping Wire AWG30 1Roll (White),$4.50
1796,DB15 (VGA) Female,$0.50
1797,Electrolytic Capacitor 25V 33uF,$0.06
1798,IC 74HC7046AN,$3.10
1799,Resistor 0.25W 5% (750R),$0.01
1800,DB15 (VGA) Female,$0.50
1801,Electrolytic Capacitor 25V 33uF,$0.06
1802,IC 74HC7046AN,$3.10
1803,Resistor 0.25W 5% (1R5),$0.01
1804,Resistor 0.25W 5% (2M2),$0.01
1805,Electrolytic Capacitor 63V 1000uF,$0.56
1806,Bare Conductive PI CAP,$71.25
1807,Resistor 0.25W 5% (1R8),$0.01
1808,Resistor 0.25W 5% (2M7),$0.01
1809,Pro'skit Bent Nose Plier,$4.98
1810,Raspberry Pi 4B 8GB Desktop Kit-UK Plug,$169.75 $152.78
1811,Rotary Encoder B-106-23983,$87.50
1812,Resistor 0.25W 5% (2R),$0.01
1813,Resistor 0.25W 5% (5R1),$0.01
1814,IC HT12D,$1.13
1815,Transistor CS9014,$0.10
1816,Resistor 0.25W 5% (6K2),$0.01
1817,IC 74LS151,$0.75
1818,24V 680RPM 887kgfcm AmpFlow DC Motor with Speed Reducer,$468.75
1819,IC 74LS374,$0.53
1820,IC 74LS01,$0.50
1821,IC 74LS241,$0.73
1822,Resistor 0.25W 5% (62R),$0.01
1823,Resistor 0.25W 5% (680K),$0.01
1824,IC 74LS245,$0.45
1825,Resistor 0.25W 5% (5M6),$0.01
1826,Sphero Mini: App-Controlled Robotic Ball,$70.00
1827,Resistor 0.25W 5% (820K),$0.01
1828,5 Inches Robot Wheel With 15mm Key Hub,$20.00
1829,Resistor 0.25W 5% (3R),$0.01
1830,Pro'skit Personal Computer Tool Kit,$70.75
1831,3D Printer Closed Loop Timing Belt 2GT-110mm,$1.23
1832,SK6812 NeoPixel Addressable LED Ring-24 LED,$5.48
1833,DIY Hot Air Rotating Lantern,$1.38
1834,Resistor 0.25W 5% (16R),$0.01
1835,PCF6-04 6mm Push In Fitting Female Straight Connector,$1.10
1836,3D Printer Closed Loop Timing Belt 2GT-610mm,$2.23
1837,Resistor 0.25W 5% (3R6),$0.01
1838,PIC18F2550,$6.25
1839,IC 74LS07,$0.50
1840,IC dsPIC30F4013,$10.00
1841,BitMaker Lite (without micro:bit),$9.75
1842,SK6812 144 LED Strip Silicone Jacket-1M,$22.48
1843,Resistor 0.25W 5% (3R9),$0.01
1844,Resistor 0.25W 5% (750R),$0.01
1845,DB15 (VGA) Female,$0.50
1846,Electrolytic Capacitor 25V 33uF,$0.06
1847,IC 74HC7046AN,$3.10
1848,Boson Starter Kit for micro:bit,$99.75
1849,DIY Wooden Pneumatic Horse,$1.88
1850,Resistor 0.25W 5% (1R5),$0.01
1851,Resistor 0.25W 5% (2M2),$0.01
1852,Electrolytic Capacitor 63V 1000uF,$0.56
1853,Bare Conductive PI CAP,$71.25
1854,Resistor 0.25W 5% (1R8),$0.01
1855,Resistor 0.25W 5% (2M7),$0.01
1856,Rotary Encoder B-106-23983,$87.50
1857,Resistor 0.25W 5% (2R),$0.01
1858,Resistor 0.25W 5% (5R1),$0.01
1859,IC 74LS07,$0.50
1860,IC dsPIC30F4013,$10.00
1861,BitMaker Lite (without micro:bit),$9.75
1862,SK6812 144 LED Strip Silicone Jacket-1M,$22.48
1863,Resistor 0.25W 5% (4R3),$0.01
1864,Resistor 0.25W 5% (24R),$0.01
1865,Digilent Digital Discovery,$230.00
1866,IC 74HC85N,$0.88
1867,IC 74HC9115N,$2.20
1868,Dobot Magician - Advanced Educational,"$1,875.00"
1869,Raspberry Pi 4B 8GB Desktop Kit-EU Plug,$169.75 $152.78
1870,Resistor 0.25W 5% (3M3),$0.01
1871,IC 74LS145,$0.73
1872,IC 74HC173N,$0.83
1873,Analog Parts Kit for Analog Discovery,$100.00
1874,Resistor 0.25W 5% (5R6),$0.01
1875,Resistor 0.25W 5% (1K3),$0.01
1876,Resistor 0.25W 5% (36K),$0.01
1877,IC 74HC125N,$0.30
1878,HOKUYO URG Laser Range Finder 4m (New),"$1,130.50"
1879,Resistor 0.25W 5% (7R5),$0.01
1880,IC 74HC4024N,$0.75
1881,Resistor 0.25W 5% (8R2),$0.01
1882,IC 74HC573N,$0.40
1883,IC 74LS38,$0.70
1884,IC 74LS175,$0.53
1885,M12 Inductive Proximity Sensor,$21.75
1886,Mi Node - Development Kit For micro:bit,$71.25
1887,Resistor 0.25W 5% (62K),$0.01
1888,PB6-04 6mm Pneumatic T Male Push In Fit,$0.78
1889,IC 74HC153N,$0.60
1890,Arty Z7 SoC Zynq-7000 Development Board,$300.00
1891,FlySky 3 Channels RC Receiver (Compatible with FS-GT3B),$11.25
1892,BitCar (Without micro:bit),$31.25
1893,IC 74LS373,$0.90
1894,Resistor 0.25W 5% (6M8),$0.01
1895,IC 74HC563N,$1.28
1896,DIY Simple Magnetic DC Motor (w Batteries),$2.25
1897,RPi 4B Basic Kit 5-UK Plug (w/o Raspberry Pi),$31.25 $29.69
1898,IC 74HC161N,$0.58
1899,PB6-04 6mm Pneumatic T Male Push In Fit,$0.78
1900,Arty Z7 SoC Zynq-7000 Development Board,$300.00
1901,IC 74HC153N,$0.60
1902,FlySky 3 Channels RC Receiver (Compatible with FS-GT3B),$11.25
1903,BitCar (Without micro:bit),$31.25
1904,IC 74LS373,$0.90
1905,Resistor 0.25W 5% (6M8),$0.01
1906,IC 74HC563N,$1.28
1907,SANWA Analog Multimeter,$40.00
1908,DIY Simple Magnetic DC Motor (w Batteries),$2.25
1909,RPi 4B Basic Kit 5-UK Plug (w/o Raspberry Pi),$31.25 $29.69
1910,IC 74HC161N,$0.58
1911,Transistor BC546,$0.10
1912,IC 74HC640N,$1.18
1913,RPLIDAR A2M8 - The Thinest LIDAR,$412.50
1914,IC 74HC688N,$1.28
1915,Digilent Nexys Video Artix-7 FPGA,$600.00
1916,IC 74HCT221N,$1.33
1917,IC 74HC4040N,$0.55
1918,SICK Fiber Optic,$22.75
1919,IC ISD1790,$13.75
1920,Digilent Nexys Video Artix-7 FPGA,$600.00
1921,IC 74HC27N,$0.41
1922,IC 74HC237N,$0.55
1923,IC 74LS132,$0.45
1924,IC 74HCT9046AN,$5.00
1925,Arty Artix-7 FPGA Development Board,$174.75
1926,IC 74LS137,$0.68
1927,Cmod A7: Breadboardable Artix-7 FPGA,$95.00
1928,IC 74LS123,$0.50
1929,Single Spacer,$0.38
1930,Creality Ender 3/PRO Endstop Switch Module,$2.38
1931,IC 74LS244,$0.63
1932,IC L293,$2.75
1933,Stainless Steel Nylon Lock Hex Nut M2.5,$0.05
1934,Creality Ender 3/PRO Motherboard V1.1.4,$39.75
1935,Resistor 0.25W 5% (6R2),$0.01
1936,IC 74HC126N,$0.38
1937,IC L298 (Vertical),$5.00
1938,IC 74LS153,$0.63
1939,Electrolytic Capacitor 35V 4700uF,$1.25
1940,IC 74HC423N,$1.20
1941,Low Profile Aluminum Case for Raspberry Pi 4B,$29.88 $23.90
1942,Raspberry Pi 4B Basic Kit 3 UK Plug (w/o Raspberry Pi),$35.00
1943,IC 74LS03,$0.50
1944,IC 74LS280,$0.85
1945,IC 74HC5555N,$3.00
1946,13.2V 1.5Ohm 15W Shunt Regulator,$7.00
