Index,Item,Price
121,3Amp 4V-16V DC Motor Driver (2 Channels),$7.00
122,LED Super Bright 5mm Blue,$0.05
123,2x18650 Battery Holder,$0.68
124,LED Super Bright 5mm Red,$0.05
125,Logic Level Converter - 4 Channels Bi-directional,$1.88
126,Rocker Switch Small 2 Pins Red,$0.40
127,6x6x1 Push Button 4Pin,$0.13
128,Rain Sensor Module,$1.25
129,10Amp 7V-35V SmartDrive DC Motor Driver (2 Channels),$45.00
130,Multilayer Capacitor 0.1uF,$0.04
131,30Amp 5V-30V DC Motor Driver,$31.25
132,Diodes 1N4007,$0.05
133,Acrylic Case for RPI Zero/Zero W (Blue),$5.00
134,GP 4 x AA Supercell Battery,$0.50
135,Resistor 0.25W 5% (4K7),$0.01
136,Raspberry Pi 3 Case (Black),$3.13
137,Raspberry PI 3 Case (Black) w/ GPIO Slot,$2.50
138,Raspberry Pi 4B 4GB Desktop Kit-UK Plug,$147.50
139,USB micro-B to USB-C adapter (Black),$1.25
140,LED Super Bright 5mm White,$0.05
141,GY-NEO6MV2 Flight Control GPS Module,$11.63
142,IR Tansmitter,$0.38 $0.13
143,Resistor 0.25W 5% (100K),$0.01
144,3.5-Inch TFT Touch Screen for RPI 3B/3B+/4B,$18.00
145,Finex Solder Lead,$0.75
146,Maker Line: Simplifying Line Sensor For Beginner,$9.90
147,Raspberry PI Case with Fan (Transparent),$5.00
148,Acrylic Base Plate for Arduino Uno,$1.05
149,Potential Meter 10K,$0.30
150,3.7V 2000mAh Li-Ion Battery,$2.50
151,DIY 4 Blades 56mm Motor Propeller (Blue),$0.25
152,5V Piezo buzzer C/W wire,$0.25
153,NANO Compatible (CH340) with USB Cable,$3.75
154,Breadboard Mini(35mmx42mm) - Red,$0.45
155,Classic Retro Super Nintendo USB Gamepad,$3.75
156,Light Sensor Module,$1.25
157,Breadboard Mini(35mmx42mm) - White,$0.45
158,Moisture Sensor Module,$1.25
159,Solder Paste (Proskit),$2.48
160,Long Straight Pin Header 1x40 Way 17mm,$0.30
161,MEGA Compatible (CH340) with USB Cable,$9.75
162,LIPO Battery 7.4V 900mAH,$5.00
163,Diodes 1N4001,$0.05
164,T-Cobbler Breakout + GPIO Cable for RPI,$3.75
165,0.8Amp 5V-26V DC Motor Driver Shield for Arduino (2 Channels),$10.50
166,2-3 Cell LIPO Balance Charger,$12.25
167,Raspberry Pi NoIR Camera Board V2,$28.75
168,MG995 Metal 360 Continuous Servo,$5.13
169,NODEMCU ESP32,$9.75
170,UC00C (CH340) USB to UART Converter,$3.75
171,Dual 18650 Li-Ion Battery Charger,$4.00
172,10Amp 7V-30V DC Motor Driver Shield for Arduino,$13.00
173,Official RPi Mini HDMI to STD HDMI Cable (1m White),$5.00
174,LiPo Rechargeable Battery 3S 11.1V 30C 2200mAH,$18.75
175,Resistor 0.25W 5% (470R),$0.01
176,PC104 Header Pin (2x20),$1.25
177,LED 5mm Red Green Blue (4pin),$0.25
178,LED Super Bright 5mm Green,$0.05
179,Official RPi 15W (5V/3A) PSU USB C EU Plug-White,$8.75
180,LED 3mm Green,$0.03
181,IR Receiver,$0.20 $0.13
182,5V 28BYJ-48 Stepper Motor + ULN2003 Driver Board,$2.00
183,Breadboard Mini(35mmx42mm) - Black,$0.45
184,Grove - Starter Kit for Arduino,$52.25
185,Trust Me I'm A Maker Vacuum Flask,$6.25
186,Victor 830L Multimeter,$8.00
187,Terminal Pin For 2510,$0.03
188,USB MiniB Cable (2.0),$0.88
189,13A Plug Top,$0.63
190,NEMA 17HS4401 Bipolar Stepper Motor,$9.75
191,Donut Board (Big) 10x24cm,$1.13
192,Official Raspberry Pi Keyboard (US),$17.50
193,Right Angle Pin Header (Male) 1x40 Ways,$0.20
194,Sumo Robot Controller R1.1,$33.75
195,USB ICSP PIC Programmer,$13.50
196,TT Motor + Wheel Kit,$1.63
197,4xAA Battery Holder,$0.50
198,RFID Card,$0.38
199,Microwave Radar - Human motion Sensor,$1.25
200,3 pins Toggle Switch,$0.58
201,Hakko 22W Soldering Iron (Hakko Red),$5.25
202,RF Transceiver 2.4G (nRF24L01+),$1.25
203,Mini HDMI to HDMI Cable,$2.50
204,Electrolytic Capacitor 16V 10uF,$0.05
205,Cytron LoRa-RFM Shield,$24.75
206,M3 PCB Stand (screw & nut)10mm,$0.18
207,Terminal Block DG128V-02 (Green),$0.18
208,37 in 1 Sensors Kit for Arduino,$16.25
209,Slide Switch SSD2D10,$0.30
210,Adjustable 60W Soldering Iron (EU Plug),$7.25
211,Metal Key Hub - 6mm,$5.25
212,Raspberry Pi 4 ABS Case (Black),$3.13
213,Resistor 0.25W 5% (2K2),$0.01
214,Premium Case for RPI 7 Inch Touch Screen,$22.50
215,Finger Adjust Preset 10K,$0.45
216,1x18650 Battery Holder,$0.45
217,Auto-Calibrating Line Sensor,$13.75
218,Official RPi HDMI to HDMI Cable (1m White),$5.00
219,20Amp 6V-30V DC Motor Driver,$17.25
220,Voltage Regulator +3.3V,$0.50
221,LED 3mm Red,$0.03
222,1A LIPO Charger Module with Protection,$1.25
223,MG90S Metal Gear Micro Servo,$3.50
224,Cytron Screw Terminal Shield,$7.50
225,M3 PCB Stand (screw & nut)30mm,$0.33
226,M3 Nut,$0.01
227,Official Raspberry Pi Mouse,$8.25
228,LED 5mm RGB Diffused (4pin) C. Cathode,$0.25
229,PL2303HX USB to TTL Serial Cable,$1.88
230,Wireless USB Keyboard With Touch Pad,$11.25
231,Solder Lead 0.8mm (250gm),$8.50
232,LM2596 3A Step-Down Converter,$0.93
233,Mini Slide Switch(PCB),$0.20
234,MG946R Metal Gear Servo,$7.25
235,Pro'skit Digital Multimeter,$13.75
236,Adjustable 5A DC-DC Power Module,$7.50
237,2 x AA Battery Holder for micro:bit- 2xAA with On/Off Switch,$0.75
238,9V Battery Holder,$0.50
239,9V Battery Holder,$0.50
240,Flame Sensor Module,$1.25
241,10 Amp 7V-30V Potentiometer & Switch Control DC Motor Driver,$9.90
242,MCP3008 - Analogue to Digital Converter,$2.63
243,Plastic Wheel for SPG30/SPG50 (80mm),$1.25
244,WiFi UNO Based ESP8266,$6.25
245,Arduino Female Header 1x10 Ways,$0.38
246,Resistor 0.25W 5% (2K),$0.01
247,Pro'skit Desoldering Pump,$3.75
248,GP 4 x AAA Supercell Battery,$0.50
249,Multicore Wire AWG14 Black (meter),$0.88
250,Arduino Female Header 1x6 Ways,$0.25
251,Copper Stand Set (M2.5x11) for RPI,$1.13
252,Hex Brass Mini Wheel Coupling (6mm),$1.25
253,Cytron Prototyping Shield,$3.50
254,Multicore Wire AWG14 Red (meter),$0.88
255,micro:bit Go Bundle,$21.25
256,Transistor BC547,$0.10
257,60Amp 7V-45V SmartDrive DC Motor Driver (2 Channels),$150.00
258,Starter Kit for Arduino UNO,$37.25
259,Starter Kit for Arduino UNO,$37.25
260,3D Printer 1.75mm PLA Filament (Black),$17.25 $15.98
261,3x18650 Battery Holder,$0.90
262,Pro'skit Solder Wick,$1.00
263,Adapter 5V 2A (UK Plug),$2.75
264,4 In 1 MAX7219 Dot Matrix Display Module,$6.25
265,DC-DC Mobile Charger 5V3A (Input 6-24V),$2.00
266,IC ATMEGA328P (With Arduinio bootloader),$3.75
267,Raspberry Pi 3.5 Inches Display Case,$3.13
268,Copper Heatsink for Raspberry Pi,$1.25
269,Breadboard Mini(35mmx42mm) - Blue,$0.45
270,Single Core Cable (Roll) Black,$6.25
271,LED Super Bright 3mm Blue,$0.05
272,Base Board for NodeMCU V3,$2.48
273,LiPo Power Shield,$13.75
274,Raspberry Pi Zero V1.3 Camera Cable,$2.88
275,Mini Microphone Module,$1.25
276,12mm Momentary Push Button - Red,$0.63
277,4x4 Matrix Membrane Keypad,$1.00
278,Pro'skit Helping Hands,$6.25
279,Pro'skit Helping Hands,$6.25
280,Power over Ethernet (PoE) HAT for Raspberry Pi,$24.75
281,GP CR2032 Coin Cell Battery,$0.50
282,4 CH Active H/L 5V Relay Module,$4.13
283,Aluminum 2WD TT Robot/Motor Chassis - Purple,$12.48
284,Power Window Motor with Coupling (Left),$20.50
285,Speaker 8R 1W,$0.50
286,Adjustable Infrared Sensor Switch,$4.50
287,Ready Stock: Creality Ender3 3D Printer DIY Kit (Unassembled),$236.75 $224.91
288,Ethernet Shield V2.0,$7.00
289,12V/7.0Ah Lead Acid,$14.75
290,MCP9700 Linear Temperature Sensor,$0.45
291,"Raspberry Pi Micro-HDMI to Standard HDMI, 1m Black",$7.50
292,Straight Pin Header (Male) 2x20 Ways,$0.15
293,L293D Motor Drive Shield for Arduino,$3.13
294,Maker UNO Learning Box - Everything You Need To Start Making,$14.98
295,Soldering Iron Kit with Digital Multimeter (UK Plug),$24.75
296,Power Window Motor with Coupling (Right),$20.50
297,Infrared Transmitter LED 3mm,$0.20
298,Classroom Good micro:bit Guide,$11.25
299,Classroom Good micro:bit Guide,$11.25
300,Dean T LiPo Battery Wire Extension 15cm - Male,$1.00
301,Micro 360 Degree Continuous Rotation Servo,$4.00
302,Single Core Cable (Roll) Red,$6.25
303,Waterproof Ultrasonic Module,$11.25
304,Terminal Block KAR301-2 Way,$0.18
305,Vibration Sensor Module (Normally Off),$1.25
306,Bolt M3x10mm,$0.01
307,Small Robot Rubber Wheel (65x26.5mm),$2.50
308,Temperature Sensor Module,$1.25
309,Mini Disc Vibrating Motor 1027,$1.13
310,2xAAA Battery Holder with On/Off Switch,$0.75
311,USB C to Type A Cable (1 Meter),$2.00
312,BreadBoard Power Stick 5V 3V3,$4.50
313,Mifare Card,$1.25
314,Grove 4 Pin Buckled to Female Cable,$0.38
315,5 Inches TFT Touch Screen For RPI3 and RPI4B,$45.00
316,12mm Momentary Push Button - Green,$0.63
317,Arduino Nano Main Board,$23.75
318,Arduino Female Header 1x8 Ways,$0.30
319,4xAA Battery Holder C/W Cover,$0.75
320,12mm Momentary Push Button - Green,$0.63
321,IC Socket-40 pin,$0.18
322,12V 380RPM 1.4kgfcm High Power Brushed DC Geared Motor,$13.75
323,LED 3mm Yellow,$0.03
324,Piezo Transducer,$0.63
325,Colour Sensor Module,$6.25
326,Maker Uno Bluetooth Robot Kit,$22.25
327,IR Receiver Diode VS1838B - 38KHZ,$0.38
328,Acrylic Sheet (A4) 3mm,$2.50
329,Multi-Function LIPO Balance Charger,$30.00
330,6V 440RPM DC Micro Metal Gearmotor,$4.63
331,2xAA Battery Holder,$0.25
332,IC PIC16F877A,$4.25
333,433MHz RF (UART) Transceiver Module-1km,$7.25
334,3V-5.5V Ultrasonic Ranging Module,$1.50
335,3D Printer 1.75mm PLA Filament (Silver),$17.25 $13.73
336,Diodes 1N4148,$0.05
337,SmartiPi Touch 2 for Raspberry Pi Display,$30.00
338,Pro'skit Convertible Soldering Iron/Gun,$5.88
339,LED 5mm Red Green Blue (Flashing),$0.08
340,Maker UNO Plus: Simplifying Arduino for {Education},$15.00
341,5 Inches Robot Wheel Without Key Hub,$12.50
342,Multilayer Capacitor 1uF,$0.04
343,N2 Plus Universal Charger,$7.50
344,3D Printer 1.75mm PLA Filament (White),$17.25 $13.73
345,RPI Zero W USB-A Addon Board V1.1,$3.75
346,Cytron UNO Special - Arduino Compatible,$15.00
347,Raspberry Pi 3 Model A+,$31.25
348,Analog Micro Servo 9g (3V-6V),$3.00
349,IC LM555,$0.25
350,IC Socket-8 pin,$0.05
351,40Amp 10V-45V SmartDrive DC Motor Driver,$62.50
352,TTL UART to RS232 Converter,$5.25
353,Terminal Pin For 2020,$0.03
354,W420 Steel Ball Universal Wheel (Castor),$0.75
355,2510 PCB Connector Housing 2 Ways,$0.02
356,Cytron ARM Cortex M0,$17.50
357,ESP32-CAM Wireless IoT Vision Development Board,$9.95
358,Resistor 0.25W 5% (1M),$0.01
359,Cytron Easy MP3 Shield,$16.25
360,4G / 3G / 2G / GSM / GPRS / GNSS HAT for Raspberry Pi,$75.00
361,Motor Mount & 5 Inches Wheel Kit,$62.50
362,Raspberry Pi Official Beginners Guide E2,$15.00
363,Straight Female Header 1x10 Ways,$0.13
364,Encoder Sensor Module,$1.25
365,Crystal H49S (Low Profile) 16MHz,$0.50
366,Songle SPDT Relay SRD 05V,$0.50
367,2510 PCB Connector Housing 4 Ways,$0.03
368,9 Layer Case for RPi 3 with Fan (Black),$5.00
369,Soldering Tip Cleaner,$6.00
370,MQ2 Smoke LPG CO Sensor Module,$1.88
371,3-5V 22x4.5 Piezo Buzzer with Wires,$0.25
372,M3 PCB Stand (screw & nut)20mm,$0.28
373,7 Segment Display 0.5inch Common Cathode,$0.38
374,3D Printer 1.75mm PLA Filament (Cyan),$17.25 $15.98
375,Panasonic NCR18650B 3400mAh 3.7V Li-ion,$7.50
376,Force Sensitive Resistor 0.5 Inches,$7.50
377,R385 DC12V Diaphragm Water Pump,$3.00
378,USB micro-B to USB-C adapter (White),$1.25
379,6V 320RPM High Power DC Micro Metal Gearmotor,$10.00
380,Breadboard Power Module MD-102,$0.88
381,Resistor 0.25W 5% (10R),$0.01
382,Cytron PS2 Shield,$15.50
383,Crystal H49S (Low Profile) 20MHz,$0.50
384,DC 12V Worm Gear Motor (200RPM),$10.00
385,Pixy 2 CMUcam5 Image Sensor,$74.75
386,2x16 LCD with I2C Module(Yellow Green),$2.63
387,IR Sensor Set With Socket,$0.88
388,Micro Switch (Small w/o roller),$0.25
389,Planetary Motor Bracket (IG42E/IG45),$6.00
390,Electrolytic Capacitor 25V 100uF,$0.08
391,Buzzer(Passive) With Jumper Housing,$0.23
392,2600 PCB Connector Header(S) 2 Ways,$0.03
393,2510 PCB Connector Housing 3 Ways,$0.02
394,10Amp 7V-30V DC Motor Driver Shield for Arduino (2 Channels),$20.50
395,WiFi UNO Based ESP32,$12.25
396,IC Socket-16 pin,$0.09
397,M3 PCB Stand (screw & nut)40mm,$0.38
398,Grove - Water Sensor,$3.25
399,Sense HAT for Raspberry Pi,$42.50
400,Biomedical Sensor Pad (10 pack),$9.63
401,NVIDIA Jetson Nano Developer Kit,$137.50
402,Push Button Panel Mount 12MM with Wire (20cm),$0.70
403,Multilayer Capacitor 22pF,$0.04
404,12mm x 12mm x 1mm Push Button 4 Pins,$0.25
405,Wireless PS2 Controller (Compatible),$9.75
406,HL2527 DC Plug (2.1mm) (Black),$0.25
407,Grove - Temperature & Humidity Sensor (DHT11),$6.25
408,Raspberry Pi 4 Model B 2GB Beginner Kit,$87.25
409,3D Printer 1.75mm PLA Filament (Blue),$17.25 $13.73
410,Straight Turn Pin 16 Ways,$0.40 $0.20
411,32 in 1 Precision Screwdriver Set,$4.75
412,Flexible Bend Sensor 2.2 Inches,$10.50
413,Micro USB to USB A OTG Cable,$2.00
414,3D Printer 1.75mm PLA Filament (Translucent),$17.25 $14.75
415,Hall Sensor Module,$1.25
416,JSumo Silicone Wheel Set (33mm x 20mm),$19.00
417,Voltage Regulator +12V,$0.25
418,6V 85RPM DC Micro Metal Gearmotor,$4.63
419,JSumo Silicone Wheel Set (33mm x 20mm),$19.00
420,3V - 6V Dual Axis TT Gear Motor,$1.00
421,3-Axis Digital Compass Breakout Board,$5.00
422,TT Motor - Dual Metal Shaft,$2.50
423,Infrared IR Wireless Remote Control Kits,$1.25
424,MQ135 Air Quality Sensor Module,$2.10
425,XL4005 SMPS Adjustable 5A Buck Converter,$1.48
426,M3 PCB Stand (screw & nut)15mm,$0.23
427,LIPO Battery 11.1V 1300mAH,$12.50
428,3D Printer 1.75mm PLA Filament (Gold),$17.25 $13.73
429,QTR-1A Reflectance Sensor (2-Pack),$4.63
430,Enclosure for Arduino UNO - Transparent,$1.23
431,Transistor 2N3904,$0.15
432,3D Printer 1.75mm PLA Filament (Yellow),$17.25 $15.98
433,PCB Stand (screw & screw)10mm,$0.15
434,Electrolytic Capacitor 16V 100uF,$0.06
435,A4988 Stepper Motor Driver Module,$1.50
436,3D Printer 1.75mm PLA Filament (Red),$17.25 $13.73
437,14500 Li-Ion Battery 3.7V 600mAh,$2.00
438,JSumo Silicone Wheel Set (52mm x 30mm),$52.50
439,LED Ultra Bright 5mm White,$0.10
440,Wemos D1 Mini ESP8266 Dev Board,$4.85
441,Terminal Pin For 2561,$0.03
442,Straight Female Header 1x5 Ways,$0.08
443,Electrolytic Capacitor 50V 1uF,$0.05
444,JSumo Silicone Wheel Set (52mm x 30mm),$52.50
445,I2C Module for Character LCD,$1.13
446,Resistor 0.25W 5% (47K),$0.01
447,Raspberry Pi Zero W Complete Starter Kit,$42.50
448,Digital Infrared Sensor,$4.50
449,0.8Amp 2.5V-12V L9110S DC Motor Driver (2 Channels),$1.25
450,Pro'skit 4 in 1 Screw Driver Set,$1.88
451,2.1mm DC Plug Extension Cable,$1.00
452,micro:servo 180 Degrees Analog Servo for micro:bit,$5.00
453,RFID Key Chain Tag,$0.38
454,micro:bit Battery Holder - 2xAA (JST-PH),$0.63
455,Raspberry Pi 4 Model B 4GB Basic Kit-UK Plug,$102.25 $99.75
456,Opener,$1.50 $0.23
457,2 Axis Analog and Button PS2 Joystick Module,$1.23
458,Advanced Auto-Calibrating Line Sensor,$48.75
459,Maker Reflect: Simplifying IR Reflectance Sensor for Beginner,$1.88
460,40p GPIO cable for Raspberry Pi,$1.13
461,PikaBot - Maker UNO Smart Car Kit,$27.50 $24.75
462,Lithium Polymer Battery Connector (Red),$0.75
463,Breadboard Mini(35mmx42mm) - Yellow,$0.45
464,DS1307 RTC I2C Module,$0.88
465,5V 3A Adapter USB Type C Cable (UK plug),$6.25
466,Maker UNO X: Simplifying Arduino for Classrooms,$9.75
467,Straight Female Header 2x20 Ways,$0.30
468,Water Float or Level Sensor Switch,$2.05
469,HDMI to VGA Adapter with Audio & Power,$13.75
470,2x18650 Battery Holder with DC Jack,$0.93
471,PhilipsTest Pen,$0.88
472,Straight Pin Header (Male) 2x40 Ways,$0.30
473,Grove - Moisture Sensor,$3.25
474,ESP01 USB Programmer Adapter,$5.50
475,DS3231 RTC Module for Raspberry Pi,$1.70
476,HC-SR505 Mini PIR Motion Sensor Module,$2.08
477,IC Socket-28 pin(slim),$0.14
478,4 CH 16-bit ADS1115 ADC Module,$3.70
479,IC LM741,$0.25
480,Node32 Lite Wifi & Bluetooth Development Kit,$11.23
481,Cytron XBee Shield,$8.75
482,7 Inch RPI Display with Case & Stand,$47.50
483,Terminal Breakout Board for Arduino NANO,$2.23
484,Mini Jumper,$0.05
485,Infrared Receiver LED 3mm,$0.20
486,Micro Submersible Water Pump DC 3V-5V,$1.40
487,"6mm Laser LED 650nm, 3V 5mW",$0.63
488,12mm Momentary Push Button - Blue,$0.63
489,LED Super Bright 5mm Yellow,$0.05
490,4x20 Character LCD with I2C Module (Blue),$6.50
491,Bolt M3x6mm,$0.01
492,RCSwitch10 - RC controlled Relay Switch,$9.75
493,Straight Female Header 1x8 Ways,$0.10
494,3-Axis Accelerometer,$9.25
495,XL6009 4A Boost Converter With Display,$3.88
496,Breadboard Mini(35mmx42mm) - Green,$0.45
497,Shield Data logger with DS1307 RTC,$3.20
498,PU 6mm Polyurethane Pneumatic Tube (meter),$0.33
499,PU 6mm Polyurethane Pneumatic Tube (meter),$0.33
500,ACS712 5A Current Sensor Module,$2.38
501,XT60 LiPo Connector,$1.00
502,NodeMCU V2 Doit ESP12E (Narrow),$4.85
503,2600 PCB Connector Header(S) 3 Ways,$0.05
504,RS485 CAN HAT for Raspberry Pi,$13.75
505,Starter Kit for Cytron Uno,$26.25
506,Songle SPDT Relay SRD 12V,$0.50
507,3D Printer 1.75mm PLA Filament (Orange),$17.25 $15.98
508,LED Super Bright 3mm White,$0.05
509,Traffic Light LED Module,$0.98
510,Resistor 0.25W 5% (5K),$0.01
511,10Amp 6V-24V DC Motor Driver HAT for RPI (2 Channels),$21.25
512,Resistor 0.25W 5% (150K),$0.01
513,500 1/4W Resistor Kit 1 - 10MOhm (50 resistances),$7.48
514,3D Printer 1.75mm PLA Filament (Light Blue),$17.25 $13.73
515,Multilayer Capacitor 0.01uF,$0.04
516,3D Printer 1.75mm PLA Filament (Purple),$17.25 $15.98
517,Cytron Bluetooth Module,$17.00 $2.48
518,Micro HDMI to VGA Adapter,$6.25
519,Micro HDMI to VGA Adapter,$6.25
520,Cube Servo,$26.25
521,12V Solenoid Valve - 3/4 Inches,$13.00
522,Finex Flux Cored Solder Wire 0.6mm (250g),$8.75
523,Cell Battery Holder,$0.50
524,Mini USB Microphone,$3.73
525,Electrolytic Capacitor 25V 10uF,$0.06
526,2020 PCB Connector Housing 2 Ways,$0.02
527,5V 3A Adapter USB Type C Cable (EU plug),$6.25
528,Pro'skit Desoldering Pump,$5.88
529,Ikedo Mini Sumo Robot Starter Kit,$74.75
530,Dean T LiPo Battery Wire Extension 20cm with Pin Type Cable Lug,$1.38
531,OV7670 VGA Camera Module,$6.48
532,High Precision Ultrasonic Range Finder US-015,$2.18
533,M3 PCB Stand (screw & screw)8mm,$0.13
534,Grove Base Kit for Raspberry Pi,$42.25
535,micro: Maqueen micro:bit Educational Programming Robot Platform,$35.00
536,Single Core Cable (Roll) Blue,$6.25
537,MC-38 Magnetic Contact Switch Sensor,$1.13
538,Wrapping Wire AWG30 1Roll (Red),$4.50
539,MC-38 Magnetic Contact Switch Sensor,$1.13
540,Power Window Motor (Wira) - Right,$8.50
541,Electrolytic Capacitor 50V 0.1uF,$0.05
542,2600 PCB Connector Header(S) 4 Ways,$0.06
543,5kg Load Cell with HX711 Amplifier,$3.98
544,Resistor 0.25W 5% (150R),$0.01
545,M3 PCB Stand (screw & screw)30mm,$0.28
546,USB microSD Card Reader and Writer,$1.75
547,Grove - Sound Sensor,$5.25
548,1kg Load Cell with HX711 Amplifier,$3.73
549,12V 1100RPM 0.5kgfcm High Power Brushed DC Geared Motor,$13.75
550,Breakoutboard for SPG10,$1.50
551,ICE Tower CPU Cooling Fan for RPI4 with Case,$23.75
552,Transistor BC548,$0.10
553,Solder Lead 1.0mm (250gm),$8.50
554,Electrolytic Capacitor 16V 1000uF,$0.18
555,Grove - Temperature Sensor,$3.25
556,12VDC Solenoid Door Lock,$4.73
557,Adapter 5V 4A R/Angle DC Jack 2.1mm - UK Plug,$7.25
558,Bolt M3x14mm,$0.03
559,XBee Starter Kit without module,$17.25
560,Metal Key Hub - 8mm,$8.75
561,Tilt Sensor Module,$1.25
562,Plastic Box (120x80x40mm) Grey,$2.25
563,LiPo Rechargeable Battery 11.1V 5200mAH,$45.00
564,Honeywell PM2.5 Particle Sensor Module,$52.25
565,Fanless Armor Case for Raspberry Pi 4B - Blue,$12.25
566,12V 24RPM 15kgfcm Brushed DC Geared Motor,$13.75
567,Finex Flux Cored Solder Wire 0.8mm (250g),$8.75
568,50A Current Sensor,$12.50
569,Analog Distance Sensor (10-80cm),$7.25
570,M3 PCB Stand (screw & screw)20mm,$0.23
571,Magnetic Detachable Micro USB Cable V2,$6.25
572,ESP01 3V3 5V Serial Adapter,$1.43
573,2.1mm DC Plug with Cable,$0.63
574,UNO R3 Compatible (CH340) Beginner Kit,$22.23
575,LED 5mm Red Green Blue Diffused (4pin),$0.25
576,LED Super Bright 3mm Red,$0.05
577,Mini Wheel 46x10 mm,$0.75
578,IO Expansion Shield for Arduino Nano,$2.48
579,Omron Limit Switch,$0.88
580,Transistor IRFZ44N,$1.25
581,Raspberry Pi 235mm micro HDMI to Standard HDMI adapter,$5.25
582,2xAA Battery Holder C/W Cover,$0.50
583,RC Servo Motor (Plastic Gear),$8.75
584,Multicore Wire 18AWG Black (meter),$0.50
585,Multicore Wire 18AWG Red (meter),$0.50
586,7 Sizes Colorful Shrinking Tube Kit - 140,$4.00
587,Nylon PCB Standoff Kit - 70pcs,$6.25
588,Finger Adjust Preset 5K,$0.45
589,Gravity-Analog Turbidity Sensor For Arduino,$12.98
590,USB Volt & Current Meter with Display (R.Angle),$1.58
591,Grove - Ultrasonic Ranger,$4.13
592,Maker UNO X Learning Box - Everything You Need To Start Making,$16.48
593,TTP223 Capacitive Touch Sensor Module,$0.63
594,12V 75RPM 3kgfcm Brushed DC Geared Motor,$11.25
595,4 Port USB HUB HAT for RPI Zero V1.3,$8.75
596,Gravity: Non-contact Water level Sensor,$12.13
597,1.44inch LCD display (128x128) HAT for Raspberry Pi,$12.50
598,12mm Momentary Push Button - Yellow,$0.63
599,Gravity: Non-contact Water level Sensor,$12.13
600,1.44inch LCD display (128x128) HAT for Raspberry Pi,$12.50
601,12V/1.2Ah Lead Acid,$13.25
602,Internet Network CAT 5E LAN cable - 1.8m,$1.25
603,Breakout USB A Type Male,$1.50
604,2021 PCB Connector Header (S) 2 Ways,$0.03
605,Single Core Cable (Roll) Yellow,$6.25
606,PCB UV Board PP1015 (Kinsten),$3.50
607,USB A to Micro USB with On/Off Switch,$2.50
608,USB Host Shield,$11.25
609,TT DC Gear Motor Bracket,$1.25
610,DIY Wooden Remote Car (w Batteries),$4.25
611,5V Compatible Micro SD Card Adapter,$1.23
612,Line Following Mobile Robot Kit,$23.00
613,NESPI Case NES Style for Raspberry Pi 3,$22.00
614,1CH Active H/L 5V OptoCoupler Relay Module,$1.40
615,3D Printer 1.75mm PLA Filament (Bright Green),$17.25 $13.73
616,Hex Brass Mini Wheel Coupling (8mm),$1.25
617,Microbit GPIO Expansion Board,$6.63
618,64GB Micro SD Card with NOOBS for RPI,$24.50 $19.60
619,Aluminum RPi4 Case with FAN and Bracket - Black,$14.75
620,Base Shield V2,$10.75
621,Pro'skit Automatic Wire Stripping Tool,$8.63
622,TTGO T-Call ESP32 with SIM800L GPRS Module-Presolder Header,$24.98
623,Raspberry Pi 4B 3.5-Inch Touch Screen Case,$3.48
624,Pololu Micro Gearmotor Bracket (1 Pair),$6.88
625,Pulse Sensor,$39.75
626,IC LM317,$0.63
627,64GB Micro SD Card with NOOBS for RPI,$24.50 $19.60
628,Resistor 0.25W 5% (20K),$0.01
629,Grove - 3-Axis Digital Accelerometer (±1.5g),$10.50
630,Grove - Mini PIR Motion Sensor,$5.25
631,Resistor 0.25W 5% (22K),$0.01
632,Mini wheel 42x19 mm (1 Pair),$2.00
633,Potential Meter 100K,$0.30
634,KW11 Micro Switch(C/W plastic roller),$0.65
635,Grove 4 Pin Buckled 20cm Cable,$0.33
636,USB Connector A Type Female,$0.25
637,LED Super Bright 3mm Yellow,$0.05
638,Male to Female Extension Cable (L),$1.25 $0.23
639,Male to Female Extension Cable (L),$1.25 $0.23
640,4 Wheels Robot Base with 2 Transparent Acrylic,$9.98
641,9V Battery Holder With Switch+Cover+DC Jack,$0.98
642,"Non-Contact Voltage Detector, 90-1000VAC",$2.50
643,RPi 3 Aluminum Heatsink Case with Dual Fan,$17.50
644,8 CH Active H/L 5V Relay Module,$6.50
645,Zener Diodes 1/2W 5V1,$0.08
646,Terminal Block KAR301-3 Way,$0.25
647,Electrolytic Capacitor 16V 470UF,$0.11
648,Arduino Pro Mini 328 - 5V/16MHz,$12.25
649,Breakout for NRF24L01 with Socket,$1.13
650,RPI Acrylic Experiment Base Plate,$2.48
651,Prototyping Shield,$2.25
652,Multicore Wire 8AWG Black (meter),$2.88
653,Standard 15kg.cm Metal Gears Analog Servo,$12.50
654,3D Printer 1.75mm PLA Filament (Brown),$17.25 $15.98
655,IC 74HC595N,$0.30
656,Magnet Ring OD10mm x H3mm,$0.30
657,Finger Adjust Preset 1K,$0.45
658,PKCELL Heavy Duty 9V Battery,$0.38
659,12V 3D Pen V2 with PLA Filament & Adapter - Blue,$13.73 $12.48
660,Resistor 0.25W 5% (120R),$0.01
661,Banana Plug to Crocodile Clip 1m (Pair),$1.50
662,9V Battery Holder Cover with switch,$0.63
663,12V 125RPM 0.5kgfcm Brushed DC Geared Motor,$10.50
664,8 Channel Servo Controller,$15.50
665,IC L293D,$2.75
666,"Li-ion Battery HAT for Raspberry Pi, 5V Output, Quick Charge",$20.00
